app_id,review_score,
10,9,
20,8,
30,8,
40,8,
50,9,
60,8,
70,9,
80,8,
130,8,
219,8,
220,9,
240,9,
280,5,
300,8,
320,8,
340,8,
360,6,
380,9,
400,9,
410,8,
420,9,
440,8,
500,9,
550,9,
570,8,
620,9,
630,8,
730,8,
1002,6,
1003,0,
1200,8,
1250,9,
1300,8,
1313,8,
1500,8,
1502,0,
1510,8,
1520,8,
1522,8,
1530,8,
1540,0,
1600,6,
1610,8,
1620,0,
1630,8,
1640,8,
1670,5,
1690,6,
1700,8,
1710,0,
1840,8,
1900,6,
1930,6,
2100,8,
2120,0,
2200,9,
2210,8,
2270,8,
2310,9,
2320,9,
2360,8,
2370,6,
2390,8,
2400,8,
2420,6,
2450,6,
2500,8,
2510,0,
2520,5,
2540,5,
2590,5,
2600,8,
2610,8,
2620,8,
2630,8,
2640,8,
2700,8,
2710,8,
2720,6,
2730,0,
2800,8,
2810,6,
2820,8,
2840,6,
2850,6,
2870,5,
2900,6,
2910,8,
2920,6,
2990,9,
3010,8,
3020,8,
3050,6,
3130,8,
3170,8,
3190,0,
3210,0,
3230,4,
3260,5,
3270,6,
3280,0,
3300,8,
3302,0,
3310,8,
3312,0,
3320,9,
3322,0,
3330,9,
3332,0,
3340,6,
3342,0,
3350,8,
3352,0,
3360,8,
3362,0,
3380,8,
3382,0,
3390,9,
3392,0,
3400,8,
3410,8,
3412,0,
3420,8,
3422,0,
3430,8,
3432,0,
3450,8,
3452,0,
3460,8,
3462,0,
3480,9,
3482,7,
3483,8,
3490,7,
3500,8,
3502,0,
3510,8,
3512,0,
3520,8,
3522,0,
3530,8,
3532,0,
3540,9,
3560,8,
3562,0,
3570,7,
3572,0,
3580,7,
3582,0,
3590,9,
3592,7,
3600,6,
3602,0,
3610,6,
3612,0,
3620,8,
3622,0,
3700,6,
3710,8,
3720,8,
3730,8,
3800,6,
3810,6,
3820,6,
3830,9,
3850,0,
3900,8,
3910,8,
3920,8,
3960,5,
3980,6,
3990,8,
4000,9,
4100,5,
4102,0,
4230,6,
4260,0,
4290,5,
4300,6,
4310,0,
4420,5,
4440,0,
4460,6,
4470,6,
4500,8,
4520,6,
4530,6,
4560,8,
4570,9,
4580,9,
4700,9,
